metric,value
coefficient_mse,1.1385320201545228e-31
coefficient_rmse,3.3742140124101834e-16
coefficient_mae,1.0528482363966254e-16
coefficient_max_abs_error,1.4210854715202004e-14
mse,0.743462566074382
rmse,0.8622427535644367
mae,0.5402343849907195
max_abs_error,7.823183621769829
psnr,49.384083269005444
