Transformada,N_column,D_column,T_column,MSE,RMSE,MAE,PSNR_dB
DHT2 cartesiana,8,3,1,0.000275057157092424,0.0165848472134182,0.0039811132489005,35.6057705005867
DHT2 rotada,8,3,1,0.000275057157092424,0.0165848472134182,0.0039811132489005,35.6057705005867
